序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,,
324,ZJ30CZ车载钻机（低温）,ZJ30CZ,X10037224,商务部2010-7-21：商务部（2010）第（00333）号。2010-9-10总调度室（2010）第（01037）号,2010,2010-7-21,"宏华技术部刘盛  类似哈萨克40",,,,
325,ZJ20CZ车载钻机,ZJ20CZ,X10022241,商务部2010-7-21：商务部（2010）第（00333）号。,2010,2010-7-21,总体 杨欢   类似维尔20T,,,保温棚研发部吴正华,
326,ZJ15CZ车载钻机,ZJ15CZ,X10036224,商务部2010-7-21：商务部（2010）第（00333）号。,2010,2010-7-21,"宏华技术部刘盛  类似哈萨克40",,,,
327,川庆ZJ70L绞车改造钻机-1,ZJ70L,W10003218,宏天配套电控箱。商务部2010-7-17：商务部（2010）第（00324）号。2010-9-7。2012-3-28《商务部（2012）第（00275）号》,2010,2010-7-21,,,,,,
328,川庆ZJ70L绞车改造钻机-2,ZJ70L,W10005218,宏天配套电控箱。商务部2010-7-17：商务部（2010）第（00324）号。2010-9-7。2012-3-28《商务部（2012）第（00275）号》,2010,2010-7-21,,,,,,
329,川庆ZJ70L绞车改造钻机-3,ZJ70L,W10004212,宏天配套电控箱。商务部2010-7-17：商务部（2010）第（00324）号。2010-9-7。2012-3-28《商务部（2012）第（00275）号》,2010,2010-7-21,,,,,,
330,伊宏ZJ30T钻机-1,ZJ30T,X10031224,2010-7-21：商务部（2010）第（00333）号。2011-7-5：商务部（2011）第（00422）号改为伊宏ZJ30T-1 JZ112129,2010,2010-7-21,,,,,
331,伊宏ZJ30T钻机-2,ZJ30T,X10032224,2010-7-21：商务部（2010）第（00333）号。2011-7-5：商务部（2011）第（00422）号改为伊宏ZJ30T-1 JZ112130,2010,2010-7-21,,,,,
332,捷乌ZJ30T-1,ZJ30T,SZ30T08073T,2010.5.17商务部（2010）第（00209）号通知挪用原俄罗斯ZJ30T-1（SZ30T08073T），宏华令号：X10010224,2008,2010-6-7更新,,,,,,
333,捷乌ZJ30T-2,ZJ30T,SZ30T08074T,2010.5.17商务部（2010）第（00209）号通知挪用原俄罗斯ZJ30T-1（SZ30T08074T），宏华令号：X10017224,2008,2010-6-7更新,,,,,,
334,江苏邵博ZJ30DBS平移装置,,SB30DBS090189T,宏天配套电控箱。商务部2010-7-21：商务部（2010）第（00333）号。,2010,2010-7-21,,,,,,
335,渤海平移装置,,W10002211,宏天配套电控箱。商务部2010-7-22：商务部（2010）第（00334）号。,2010,2010-7-22,,,,,,
336,埃宏ZJ50DBS,ZJ50DBS,X10024217,电传采用俄罗斯北方钻井公司ZJ50DBS-3，新配套井电。2010-09-25：商务部（2010）第（00524）号。2010-11-01总调度室（2010）第（01309）号通知电传采用俄罗斯北方钻井公司ZJ50DBS-9,2010,2010-9-26更新,江强负责,,,,,
337,新顺ZJ50DBS-2,ZJ50DBS,SZ50DBS08097T,2010.08.20《总调室（2010）第（00915）号》电传采用俄罗斯北方钻井公司ZJ50DBS-9，配套井电，生产令号采用北方第9套。宏华生产令号：X10026217。2010-11-01总调度室（2010）第（01309）号通知电传转给埃宏ZJ50DBS生产令号：X10024217,2010,2010-11-1更新,,,,,
338,油气公司ZJ20T,ZJ20T,X10039224,2010-8-5：商务部（2010）第（00384）号,2010,2010-8-5,,,,,,
339,江苏石油勘探局30DBS平移装置,,SB30DBS09190T,2010-8-5：商务部（2010）第（00380）号,2010,2010-8-5,,,,,,
340,江苏ZJ50DBS,ZJ50DBS,X10041217,2010-8-19：商务部（2010）第（00409）号。2010.08.20《总调室（2010）第（00915）号》电传采用俄罗斯北方钻井公司ZJ50DBS-7（SZ50DBS08095T），宏华生产令号：X10041217,2010,2010-8-20,,,,,,
341,泰国ZJ70DBS,ZJ70DBS,SZ70DBS09015T,2010-8-25《总调室（2010）第（00936）号》用陆地ZJ70DBS-4对应宏华生产指令：X10006221,2010,2010-8-23,,,,,,
342,泰国ZJ30T,ZJ30T,X10045204,2010-8-26：商务部（2010）第（00452）号。,2010,2010-8-27,,,,,,
343,阿联酋ZJ10DBS-1,ZJ10DBS,X10042201,2010.09.01《总调室（2010）第（00976）号》通知排产,2010,2010-9-1,,,,,,
344,阿联酋ZJ10DBS-2,ZJ10DBS,X10043201,2010.09.01《总调室（2010）第（00976）号》通知排产,2010,2010-9-1,,,,,,
345,胜利油田ZJ50D司钻房改造,ZJ50D,W10046214,2010.09.01商务部（2010）第（00464）号通知排产,2010,2010-9-1,,,,,,
346,西南局ZJ50D,ZJ50D,X10052215,2010.09.27商务部（2010）第（00525）号通知排产，2010.12.03商务部（2010）第（00719）号由X10052214更正为：X10052215,2010,2010-9-26，2010-12-10更新,宏华总调室张文凯负责，宏华总体邓怊负责,,,,张凤军负责
347,长城公司固控系统-1,,Q10004221,2010.10.11商务部（2010）第（00538）号通知排产，2010.10.11《总调度室（2010）第（01195）号》通知排产。2010.10.29商务部（2010）第（00612）号通知取消，2010.11.01《总调度室（2010）第（01310）号》通知取消,2010,2010-10-11,,,,,
348,长城公司固控系统-2,,,,2010,,,,,,
349,捷乌ZJ90DBS低温钻机,ZJ90DBS,X10054212,2010-10-13：商务部（2010）第（00385）号，用原陆地90DBS（SZ90DBS09016T）项目改制,2010,2010-10-13,刘俊负责,,,,,
350,埃宏ZJ70DBS,ZJ70DBS,X10051221,2010-10-13：商务部（2010）第（00539）号，用备用ZJ70DBS-3（HT10057）项目。2010-11-18：商务部（2010）第（00697）号令号由X10048221变更为X10051221。2011-7月宏华将该套转给吉林大学ZJ70DBS,2010,2010-10-13,2010.11.18更新,江强负责,,,,
351,印度quippo泥浆系统改造井电系统,,Q10006211,2010-11-08：商务部（2010）第（00622）号，总调度室（2010）第（01347）号,2010,2010-11-8,杨依萍,,,,
352,叙利亚ZJ70DBST-1,ZJ70DBST,X10055246,2010-11-17：商务部（2010）第（00639）号，总调度室（2010）第（01388）号。JZ112555,2010,2010-11-17,,,,,
353,叙利亚ZJ70DBST-2,ZJ70DBST,X10056246,2010-11-17：商务部（2010）第（00639）号，总调度室（2010）第（01388）号。JZ112556,2010,2010-11-17,,,,,
354,川庆壳牌ZJ70DBS-1,ZJ70DBS,X10029221,2010-11-25《商务部（2010）第（00705）号》，原陆地70DBS-1,2010,2010-11-25,,,,,
355,川庆壳牌ZJ70DBS-2,ZJ70DBS,X10047221,2010-11-25《商务部（2010）第（00705）号》，原陆地70DBS-2,2010,2010-11-25,,,,,
356,油气公司ZJ50DBS,ZJ50DBS,X10026217,2010-11-25《商务部（2010）第（709）号》，1. 泥浆泵（原振华配套直驱泥浆泵）、绞车、转盘电机采用宏天电机。2.顶驱使用宏华自制直驱顶驱。宏华挪用原俄罗斯北方钻井公司ZJ50DBS-3项目,2010,2010-11-29,总体负责人：吴寒,宏华总调：贺志权,技术部：侯延飞,总调室：刘俊,
357,SLB ZJ50DBS-4,ZJ50DBS,X10066217,,2010,2010-12-24,江强负责,,,,,
358,欧亚ZJ50DBS钻机-1（全列车移动钻机）,ZJ50DBS,X10057249,2010-11-29《商务部（2010）第（711）号》,2010,2010-12-2,张凤军负责,,,,
359,欧亚ZJ50DBS钻机-2（全列车移动钻机）,ZJ50DBS,X10059247,2010-11-29《商务部（2010）第（711）号》,2010,2010-12-2,张凤军负责,,,,
360,欧亚ZJ50DBS钻机-3（全列车移动钻机）,ZJ50DBS,X10062247,2010-11-29《商务部（2010）第（711）号》,2010,2010-12-2,张凤军负责,,,,
361,欧亚ZJ40DBS钻机-1（全列车移动钻机）,ZJ40DBS,X10058246,2010-11-29《商务部（2010）第（711）号》,2010,2010-12-2,江强负责,,,,
362,欧亚ZJ40DBS钻机-2（全列车移动钻机）,ZJ40DBS,X10061246,2010-11-29《商务部（2010）第（711）号》,2010,2010-12-2,江强负责,,,,
363,欧亚ZJ40DBS钻机-3（主机移动钻机）,ZJ40DBS,X10060248 ,2010-11-29《商务部（2010）第（711）号》,2010,2010-12-2,江强负责,,,,
364,欧亚ZJ40DBS钻机-4（主机移动钻机）,ZJ40DBS,X10063248,2010-11-29《商务部（2010）第（711）号》,2010,2010-12-2,江强负责,,,,
365,印度ZJ50L-1,ZJ50L,X10067250,2010-12-21《商务部（2010）第（741）号》，2010-12-22《总调度室（2010）第（01610）号》2011-1-5发节点计划,2010,2010-12-21,刘俊负责,供应部：刘才亮,,,
366,印度ZJ50L-2,ZJ50L,X10068250,2010-12-21《商务部（2010）第（741）号》，2010-12-22《总调度室（2010）第（01610）号》2011-1-5发节点计划,2010,2010-12-21,刘俊负责,供应部：刘才亮,,,
367,捷乌泥浆泵组控制系统,,Q10009217,2010-12-30科贸公司俄语市场部《2010科俄字488号》,2010,2010-12-21,刘俊负责,供应部：刘才亮,,,
368,备用ZJ90DBS-1（常温）,ZJ90DBS,X10064222,2011-1-7《总调度室（2011）第（00025）号》发节点计划，2011-1-18《商务部（2010）第（00017）号》,2010,2011-1-7,杨依萍负责,宏华总体：杨斌,,,
369,备用ZJ90DBS-2（低温）,ZJ90DBS,X10065222,2011-1-18《商务部（2010）第（00014）号》，《总调度室（2011）第（00077）号》，2011-4-19刘海亮发宏华第3次大表取消,2010,2011-1-18,杨依萍负责,,,供应部：赵娟,
