序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,
303,捷乌ZJ70DBS-1,ZJ70DBS,X12009221,2012-2-1《总调度室（2012）第（00092）号》，2012-2-2《商务部（2012）第（00028）号》，2012-6-7《商务部（2012）第（0607926）号》电传合同号：JZ123392。2012-7-11《商务部（2012）第（0711）号》顶驱切换系统合同号：JZ123933,2012,2012-2-1,序列号已编制,,调度负责人：羊慕倪,
304,捷乌ZJ70DBS-2,ZJ70DBS,X12010221,2012-2-1《总调度室（2012）第（00319）号》，2012-2-2《商务部（2012）第（00028）号》，2012-6-7《商务部（2012）第（0607926）号》合同号：JZ123393。2012-7-11《商务部（2012）第（0711）号》顶驱切换系统合同号：JZ123933,2012,2012-2-1,序列号已编制,,调度负责人：羊慕倪,
305,HH油服ZJ70DBS-1(伊拉克项目) ,ZJ70DBS,X11059221,2012-3-26《总调度室（2012）第（00322）号》，2012-3-23《商务部（2012）第（00210）号》，挪用原SD ZJ70DBS，2012-6-27《商务部（2012）第（0626725）号》，合同号：JZ123728,2012,2012-2-1,序列号已编制,,调度负责人：江强,
306,HH油服ZJ70DBS-2(伊拉克项目) ,ZJ70DBS,X12014221,2012-3-26《总调度室（2012）第（00322）号》，2012-3-23《商务部（2012）第（00210）号》,2012,2012-3-26,序列号已编制,,调度负责人：江强,
307,江苏ZJ70DBS,ZJ70DBS,X12085221,2012-10-22《商务部（2012）第（1017577）号》，2012-10-22《总调度室（2012）第（01050）号》,2012,2012-10-17,序列号已编制,,调度负责人：江强,HH调度：孙洪涛
308,HH油服ZJ70DBS-3,ZJ70DBS,X12086221,2012-9-27《商务部（2012）第（0925534）号》，2012-9-25《总调度室（2012）第（00995）号》,2012,2012-9-27,,,调度负责人：江强,
309,HH油服ZJ70DBS-4,ZJ70DBS,X12059221,2012-9-27《商务部（2012）第（0925534）号》，2012-9-25《总调度室（2012）第（00995）号》,2012,2012-9-27,,,调度负责人：江强,
310,SD ZJ70DBS,ZJ70DBS,X12013221,2012-3-26 HH 3.0版计划大表更改生产令号,2012,2012-3-26,,,,
311,欧亚钻井公司ZJ40DBS-1,ZJ40DBS,X12011211,2012-2-16《总调度室（2012）第（00152）号》，2012-6-14《商务部（2012）第（0614604）号》合同号：JZ123469,2012,2012-2-1,序列号已编制,技术负责人：范勤,调度负责人：江强,
312,欧亚钻井公司ZJ40DBS-2,ZJ40DBS,X12012211,2012-2-16《总调度室（2012）第（00152）号》，2012-6-14《商务部（2012）第（0614604）号》合同号：JZ123470,2012,2012-2-1,序列号已编制,技术负责人：范勤,调度负责人：江强,
313,欧亚钻井公司ZJ70DBS列车平移钻机-1,ZJ70DBS,X12069221,2012-6-11《商务部（2012）第（0611859）号》，2012-8-21《商务部（2012）第（0821）号》合同号：JZ124817,2012,2012-6-12,序列号已编制,,调度负责人：李波炜,
314,欧亚钻井公司ZJ70DBS列车平移钻机-2,ZJ70DBS,X12070221,2012-6-11《商务部（2012）第（0611859）号》，2012-8-21《商务部（2012）第（0821）号》合同号：JZ124817,2012,2012-6-12,序列号已编制,,调度负责人：李波炜,
315,欧亚钻井公司ZJ70DBS列车平移钻机-3,ZJ70DBS,X12071221,2012-6-11《商务部（2012）第（0611859）号》，2012-8-21《商务部（2012）第（0821）号》合同号：JZ124817,2012,2012-6-12,序列号已编制,,调度负责人：李波炜,
316,欧亚钻井公司ZJ70DBS主机平移钻机,ZJ70DBS,X12072221,2012-6-11《商务部（2012）第（0611859）号》，2012-09-24《商务部（2012）第（0924）号》合同号：JZ125469,2012,2012-6-12,序列号已编制,,调度负责人：李波炜,
317,阿联酋NDC公司ZJ90DBS-1,ZJ90DBS,X11064222,2012-6-11《总调度室（2012）第（00675）号》，2012-6-11《商务部（2012）第（0607763）号》,2012,2012-2-1,序列号已编制,,,
318,阿联酋NDC公司ZJ90DBS-2,ZJ90DBS,X11065222,2012-6-11《总调度室（2012）第（00675）号》，2012-6-11《商务部（2012）第（0607763）号》,2012,2012-2-1,序列号已编制,,,
319,阿联酋NDC公司ZJ90DBS-3,ZJ90DBS,X11066222,2012-6-11《总调度室（2012）第（00675）号》，2012-6-11《商务部（2012）第（0607763）号》,2012,2012-2-1,序列号已编制,,,
320,阿联酋NDC公司ZJ90DBS-4,ZJ90DBS,X11067222,2012-6-11《总调度室（2012）第（00675）号》，2012-6-11《商务部（2012）第（0607763）号》,2012,2012-2-1,,,,
321,阿联酋NDC公司ZJ90DBS-5,ZJ90DBS,X11068222,2012-6-11《总调度室（2012）第（00675）号》，2012-6-11《商务部（2012）第（0607763）号》,2012,2012-2-1,,,,
322,阿联酋NDC公司ZJ90DBS-6,ZJ90DBS,X11069222,2012-6-11《总调度室（2012）第（00675）号》，2012-6-11《商务部（2012）第（0607763）号》,2012,2012-2-1,,,,
323,阿联酋NDC公司ZJ90DBS-7,ZJ90DBS,X11070222,2012-6-11《总调度室（2012）第（00675）号》，2012-6-11《商务部（2012）第（0607763）号》,2012,2012-2-1,,,,
324,印度ZJ50L-1,ZJ50L,X12018212,2012-2-9《商务部（2012）第（00036）号》，2012-2-9《总调度室（2012）第（00122）号》，2012-2-10《总调度室（2012）第（00130）号》，2012-4-25《商务部（2012）第（0424341）号》JZ122127,2012,2012-2-1,序列号已编制,技术负责人：殷亮,调度负责人：温泉,
325,印度ZJ50L-2,ZJ50L,X12019212,2012-2-9《商务部（2012）第（00036）号》，2012-2-9《总调度室（2012）第（00122）号》，2012-2-10《总调度室（2012）第（00130）号》，2012-4-25《商务部（2012）第（0424341）号》JZ122128,2012,2012-2-1,序列号已编制,技术负责人：殷亮,调度负责人：温泉,
326,印度ZJ50L-3,ZJ50L,X12020212,2012-2-9《商务部（2012）第（00036）号》，2012-2-9《总调度室（2012）第（00122）号》，2012-2-10《总调度室（2012）第（00130）号》，2012-4-25《商务部（2012）第（0424341）号》JZ122129,2012,2012-2-1,序列号已编制,技术负责人：殷亮,调度负责人：温泉,
327,补做埃宏ZJ70DBS,ZJ70DBS,X12015221,2012-2-10《总调度室（2012）第（00125）号》，2012-2-29《商务部（2012）第（00176）号》，2012-10-24《商务部（2012）第（1024）号》JZ125882,2012,2012-2-13,序列号已编制,技术负责人：张斤,调度负责人：江强,采购负责人：赵娟
328,泰国ZJ40DBST,ZJ40DBST,SZ40DBS09017T,挪用原陆地ZJ40DBS-1 司钻房和VFD房（更换传动柜），2012-2-13《商务部（2012）第（00044）号》，2012-2-14《总调度室（2012）第（00133）号》。HH生产令号：X12021211，2012-6-27《商务部（2012）第（0626725）号》，合同号：JZ123687,2012,2012-2-13,,,总调负责人：温泉,技术负责人：尹小俊
329,委内瑞拉ZJ40DBS-1,ZJ40DBS,X12001217,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
330,委内瑞拉ZJ40DBS-2,ZJ40DBS,X12002217,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
331,委内瑞拉ZJ40DBS-3,ZJ40DBS,X12003217,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
332,委内瑞拉ZJ40DBS-4,ZJ40DBS,X12029211,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
333,委内瑞拉ZJ40DBS-5,ZJ40DBS,X12030211,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
334,委内瑞拉ZJ40DBS-6,ZJ40DBS,X12032211,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
335,委内瑞拉ZJ40DBS-7,ZJ40DBS,X12033211,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
336,委内瑞拉ZJ40DBS-8,ZJ40DBS,X12034211,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
337,委内瑞拉ZJ40DBS-9,ZJ40DBS,X12035211,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
338,委内瑞拉ZJ40DBS-10,ZJ40DBS,X12026211,2012-3-12《总调度室（2012）第（00247）号》，2012-3-12《商务部（2012）第（00194）号》，2012-3-21《总调生联201203022》，2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》，2012-3-26 HH 3.0版计划大表更改令号。2012-3-28《设备配件班05-20120327》。2012-5-15《商务部（2012）第（0508246）号》第1-6套JZ122636、第7-12套JZ122637,2012,2012-3-12,,,,
339,委内瑞拉ZJ40DBS-11,ZJ40DBS,X12037211,2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》,2012,2012-3-23,,,,
340,委内瑞拉ZJ40DBS-12,ZJ40DBS,X12038211,2012-3-22《商务部（2012）第（00208）号》，2012-3-23《总调度室（2012）第（00309）号》,2012,2012-3-23,,,,
341,委内瑞拉ZJ40DBS-13,ZJ40DBS,X12066221,2012-05-24《总调度室（2012）第（00611）号》，2012-05-25《商务部（2012）第（0525972）号》HH令号：X12066211,2012,2012-5-23,序列号已编制,,调度负责人：江强,
342,委内瑞拉ZJ40DBS-14,ZJ40DBS,X12067221,2012-05-24《总调度室（2012）第（00611）号》，2012-05-25《商务部（2012）第（0525972）号》HH令号：X12067211,2012,2012-5-23,序列号已编制,,调度负责人：江强,
343,委内瑞拉ZJ40DBS-15,ZJ40DBS,X12068221,2012-05-24《总调度室（2012）第（00611）号》，2012-05-25《商务部（2012）第（0525972）号》HH令号：X12068211,2012,2012-5-23,序列号已编制,,调度负责人：江强,
344,阿塞拜疆ZJ70D-1,ZJ70D,X12023219,2012-3-26《总调度室（2012）第（00321）号》，2012-3-23《商务部（2012）第（00209）号》，2012-10-22《商务部（2012）第（1022）号》JZ125827,2012,2012-3-26,序列号已编制,,,
345,阿塞拜疆ZJ70D-2,ZJ70D,X12024219,2012-3-26《总调度室（2012）第（00321）号》，2012-3-23《商务部（2012）第（00209）号》，2012-10-22《商务部（2012）第（1022）号》JZ125828,2012,2012-3-26,序列号已编制,,,
346,埃宏发电房,,Q12013217,2012-3-27《总调度室（2012）第（00328）号》，2012-3-27《商务部（2012）第（00271）号》，2012-6-7《商务部（2012）第（0607926）号》合同号：JZ123361,2012,2012-3-27,,,调度负责人：田培彬,
347,通源ZJ50LDB-1,ZJ50LDB,X12044213,2012-3-31《总调度室（2012）第（00360）号》，原生产令号变更为HH生产令号，2012-5-18《商务部（2012）第（0516716）号》JZ122795,2012,2012-3-31,序列号已编制,,调度负责人：李波炜,
348,通源ZJ50LDB-2,ZJ50LDB,X12045213,2012-3-31《总调度室（2012）第（00360）号》，原生产令号变更为HH生产令号，2012-5-18《商务部（2012）第（0516716）号》JZ122796,2012,2012-3-31,序列号已编制,,调度负责人：李波炜,
349,印度ZJ50L-4,ZJ50L,X12043212,2012-4-6《商务部（2012）第（0406645）号》，2012-4-9《总调度室（2012）第（00398）号》,2012,2012-4-9,序列号已编制,,调度负责人：李波炜,
350,印度ZJ50L-5,ZJ50L,X12040212,2012-4-6《商务部（2012）第（0406645）号》，2012-4-9《总调度室（2012）第（00398）号》,2012,2012-4-9,序列号已编制,,调度负责人：李波炜,
351,印度ZJ50L-6,ZJ50L,X12041212,2012-4-6《商务部（2012）第（0406645）号》，2012-4-9《总调度室（2012）第（00398）号》,2012,2012-4-9,序列号已编制,,调度负责人：李波炜,
352,文昌泵组项目,,Q12009227,2012-4-6《商务部（2012）第（0406284）号》，2012-4-9《总调度室（2012）第（00391）号》,2012,2012-4-6,,宏华研发部：雍军,调度负责人：田培彬,
353,日本绞车转盘及控制系统,,Q12025201,2012-4-9《商务部（2012）第（0409818）号》，2012-4-9《总调度室（2012）第（00397）号》，2012-4-16《商务部（2012）第（00284）号》，2012-5-28《商务部（2012）第（0528033）号》JZ123035,2012,2012-4-6,序列号已编制,宏华总调负责人：胡为民,调度负责人：田培彬,
354,川通ZJ50L-2,ZJ50L,X12042212,2012-4-9《商务部（2012）第（0406560）号》，2012-4-9《总调度室（2012）第（00401）号》，2012-6-25《商务部（2012）第（0620846）号》JZ123629,2012,2012-4-9,,宏华总调负责人：冯清,调度负责人：田培彬,
355,尼日利亚ZJ70DBS,ZJ70DBS,X12065221,2012-4-26《总调度室（2012）第（00494）号》，2012-5-28《商务部（2012）第（0528674）号》JZ123145,2012,2012-4-26,序列号已编制,宏华总调负责人：冯清,总调室负责人：羊慕倪,
356,印度John Energy公司ZJ40CZ,ZJ40CZ,X12053238,2012-4-28《商务部（2012）第（0428997）号》，2012-5-3《总调度室（2012）第（00520）号》，2012-10-22《商务部（2012）第（1022）号》JZ125830,2012,2012-5-3,,宏华总调负责人：冯清,调度负责人：李波炜,
357,川庆国际ZJ70D钻机改造,ZJ70D,W12001219,2012-05-10《商务部（2012）第（0510292）号》，2012-05-11《总调度室（2012）第（00567）号》，2012-10-22《商务部（2012）第（1022）号》JZ125829,2012,2012-5-11,序列号已编制,,调度负责人：田培彬,
358,川庆塔二堪ZJ70L改造,ZJ70L,W12002218,2012-05-28《商务部（2012）第（0528280）号》，2012-05-29《总调度室（2012）第（00627）号》,2012,2012-5-29,序列号已编制,,调度负责人：李波炜,
359,印度100MT修井机-1,,X12054243,2012-06-07《商务部（2012）第（0606651）号》，2012-06-08《总调度室（2012）第（00667）号》,2012,2012-6-8,,,调度负责人：李波炜,
360,印度100MT修井机-2,,X12055243,2012-06-07《商务部（2012）第（0606651）号》，2012-06-08《总调度室（2012）第（00667）号》,2012,2012-6-8,,,调度负责人：李波炜,
361,印度150MT修井机-3,,X12056242,2012-06-07《商务部（2012）第（0606651）号》，2012-06-08《总调度室（2012）第（00667）号》,2012,2012-6-8,,,调度负责人：李波炜,
362,印度ZJ70D,ZJ70D,X12073219,2012-06-13《商务部（2012）第（0613861）号》，2012-06-14《总调度室（2012）第（00   691）号》，2012-8-29《商务部（2012）第（0802）号》合同号：JZ124968,2012,2012-6-14,序列号已编制,,调度负责人：田培彬,
363,川庆钻探土库曼70D盘刹改造,ZJ70D,W12003219,2012-06-19《商务部（2012）第（0619227）号》，2012-06-20《总调度室（2012）第（00710）号》,2012,2012-6-20,序列号已编制,,调度负责人：田培彬,
364,川庆钻探土库曼ZJ70D前场改造,ZJ70D,W12004219,2012-06-19《商务部（2012）第（0619227）号》，2012-06-20《总调度室（2012）第（00710）号》,2012,2012-6-20,序列号已编制,,调度负责人：田培彬,
365,欧亚钻井公司ZJ50DBS主机平移钻机,ZJ50DBS,X12074217,2012-06-19《宏华俄罗斯（2012）第（0619606）号》，2012-06-25《总调度室（2012）第（00721）号》，2012-09-24《商务部（2012）第（0924）号》合同号：JZ125437,2012,2012-6-25,序列号已编制,,调度负责人：江强,
366,信得ZJ80DBS-1,ZJ80DBS,X12075250,2012-07-25《商务部（2012）第（0725478）号》，2012-07-25《总调度室（2012）第（00818）号》，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124504顶驱切换，2012-10-10《商务部（2012）第（1010）号》合同号：JZ125608,2012,2012-7-18,序列号已编制,,调度负责人：李波炜,
367,信得ZJ80DBS-2,ZJ80DBS,X12076250,2012-07-25《商务部（2012）第（0725478）号》，2012-07-25《总调度室（2012）第（00818）号》，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124504顶驱切换系统，2012-10-10《商务部（2012）第（1010）号》合同号：JZ125608,2012,2012-7-18,序列号已编制,,调度负责人：李波炜,
368,信得ZJ80DBS-3,ZJ80DBS,X12077250,2012-07-25《商务部（2012）第（0725478）号》，2012-07-25《总调度室（2012）第（00818）号》，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124504顶驱切换系统，2012-10-10《商务部（2012）第（1010）号》合同号：JZ125608,2012,2012-7-18,序列号已编制,,调度负责人：李波炜,
369,信得ZJ80DBS-4,ZJ80DBS,X12078250,2012-07-25《商务部（2012）第（0725478）号》，2012-07-25《总调度室（2012）第（00818）号》，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124505顶驱切换系统，2012-10-10《商务部（2012）第（1010）号》合同号：JZ125609,2012,2012-7-18,序列号已编制,,调度负责人：李波炜,
370,信得ZJ80DBS-5,ZJ80DBS,X12079250,2012-07-25《商务部（2012）第（0725478）号》，2012-07-25《总调度室（2012）第（00818）号》，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124505顶驱切换系统，2012-10-10《商务部（2012）第（1010）号》合同号：JZ125609,2012,2012-7-18,序列号已编制,,调度负责人：李波炜,
371,信得ZJ80DBS-6,ZJ80DBS,X12080250,2012-07-25《商务部（2012）第（0725478）号》，2012-07-25《总调度室（2012）第（00818）号》，2012-8-2《商务部（2012）第（0802）号》合同号：JZ124505顶驱切换系统，2012-10-10《商务部（2012）第（1010）号》合同号：JZ125609,2012,2012-7-18,序列号已编制,,调度负责人：李波炜,
372,信得ZJ50DBS,ZJ50DBS,X12088217,2012-08-08《商务部（2012）第（0808537）号》，2012-09-24《商务部（2012）第（0924）号》合同号：JZ125439,2012,2012-8-15,序列号已编制,,调度负责人：李波炜,
373,信得ZJ70DBS,ZJ70DBS,X12087221,2012-08-08《商务部（2012）第（0808537）号》，2012-10-22《商务部（2012）第（1022）号》JZ125839,2012,2012-8-15,序列号已编制,,调度负责人：李波炜,
374,阿联酋NDC公司750HP修井机-1,ZJ30T,X12081204,2012-07-16《商务部（2012）第（0716077）号》，2012-07-17《总调度室（2012）第（00790）号》,2012,2012-7-20,,,调度负责人：江强,
375,阿联酋NDC公司750HP修井机-2,ZJ30T,X12083204,2012-07-16《商务部（2012）第（0716077）号》，2012-07-17《总调度室（2012）第（00790）号》,2012,2012-7-18,,,调度负责人：江强,
376,阿联酋NDC公司750HP修井机-3,ZJ30T,X12084204,2012-07-16《商务部（2012）第（0716077）号》，2012-07-17《总调度室（2012）第（00790）号》,2012,2012-7-18,,,调度负责人：江强,
377,埃及SAKSON ZJ70DBS-1,ZJ70DBS,X12057221,2012-07-19《商务部（2012）第（0719889）号》，2012-07-20《总调度室（2012）第（00802）号》，2012-8-29《商务部（2012）第（0802）号》合同号：JZ124969,2012,2012-7-20,序列号已编制,,调度负责人：李波炜,
378,埃及SAKSON ZJ70DBS-2,ZJ70DBS,X12058221,2012-07-19《商务部（2012）第（0719889）号》，2012-07-20《总调度室（2012）第（00802）号》，2012-07-25《商务部（2012）第（0725441）号》，2012-8-29《商务部（2012）第（0802）号》合同号：JZ124970,2012,2012-7-20,序列号已编制,,调度负责人：李波炜,
379,连续油管钻机,CTR120/300,X09007239,2012-07-17《商务部（2012）第（0717204）号》，2012-07-25《总调度室（2012）第（00814）号》,2009,2012-7-18,序列号已编制,,调度负责人：田培彬,
380,土库曼泵组电气配套,,Q12058217,2012-08-10《商务部（2012）第（0810299）号》，2012-08-13《总调度室（2012）第（00882）号》,2012,2012-8-10,,,调度负责人：田培彬,
381,孟加拉ZJ50DBS,ZJ50DBS,X12093217,2012-09-13《商务部（2012）第（0913275）号》，2012-10-22《商务部（2012）第（1022）号》JZ125840,2012,2012-8-27,,技术负责人：王亚妮,调度负责人：李波炜,
382,新疆正通ZJ50DBS,ZJ50DBS,X12094217,2012-09-06《商务部（2012）第（0906828）号》，2012-09-07《总调度室（2012）第（00948）号》，2012-10-22《商务部（2012）第（1022）号》JZ125841,2012,2012-8-27,,技术负责人：王亮,调度负责人：田培彬,
383,川庆富顺泥浆站,,Q12059217,,2012,2012-8-27,,,,
384,俄罗斯NPRS公司ZJ30T-1,ZJ30T,X12090224,2012-08-22《商务部（2012）第（0822732）号》，2012-08-27《总调度室（2012）第（00920）号》,2012,2012-8-27,,,调度负责人：江强,
385,俄罗斯NPRS公司ZJ30T-2,ZJ30T,X12091224,2012-08-22《商务部（2012）第（0822732）号》，2012-08-27《总调度室（2012）第（00920）号》,2012,2012-8-27,,,调度负责人：江强,
386,俄罗斯NPRS公司ZJ30T-3,ZJ30T,X12092224,2012-08-22《商务部（2012）第（0822732）号》，2012-08-27《总调度室（2012）第（00920）号》,2012,2012-8-27,,,调度负责人：江强,
387,阿尔及利亚ZJ40DT,ZJ40DT,X12089209,2012-08-27《商务部（2012）第（0824839）号》，2012-10-10《商务部（2012）第（1010122）号》,2012,2012-8-27,,,调度负责人：田培彬,
388,宏华国际科贸（贝克休斯）化学剂罐,,Q12064217,2012-09-14《商务部（2012）第（0914557）号》，2012-09-14《总调度室（2012）第（00967）号》,2012,2012-9-18,,,调度负责人：田培彬,
389,川西壳牌ZJ70DBS,ZJ70DBS,X12096221,2012-09-26《商务部（2012）第（0925289）号》，2012-09-27《总调度室（2012）第（00994）号》，2012-10-29《商务部（2012）第（1029）号》电机合同号：JZ125940,2012,2012-9-27,序列号已编制,技术负责人：张斤,调度负责人：田培彬,
390,宏华海洋ZJ90DBS-1（Tiger钻井船项目）,ZJ90DBS,X12060222,2012-09-28《商务部（2012）第（0928038）号》，2012-09-28《总调度室（2012）第（01001）号》,2012,2012-9-28,,,调度负责人：江强,
391,宏华海洋ZJ90DBS-2（Tiger钻井船项目）,ZJ90DBS,X12061222,2012-09-28《商务部（2012）第（0928038）号》，2012-09-28《总调度室（2012）第（01001）号》,2012,2012-9-28,,,调度负责人：江强,
392,中石油渤海钻探排管机,,Q12050221,2012-09-28《商务部（2012）第（0928511）号》，2012-09-28《总调度室（2012）第（01002）号》，2012-10-22《商务部（2012）第（1022）号》JZ125787,2012,2012-9-28,,,调度负责人：李波炜,HH调度负责人：林学军
393,捷乌土库曼项目新增剪切泵（75kw）,,Q12054233,2012-10-08《商务部（2012）第（1008）号》，2012-10-08总调度室转发商务部联系单，2012-10-12《商务部（2012）第（1012）号》合同号JZ125703,2012,2012-10-8,,,调度负责人：田培彬,
394,川东大修钻机平移改造,,W11005221,合同号JZ122743,2012,2012-9-20,,,调度负责人：田培彬,
395,泰国ZJ40DBS改造,,X12098211,2012-10-15《商务部（2012）第（1015245）号》，2012-10-12《总调度室（2012）第（01031）号》,2012,2012-10-15,,,调度负责人：李波炜,
396,长城ZJ70DBS固控,,X12065233,2012-10-22《商务部（2012）第（1022768）号》，2012-10-23《总调度室（2012）第（01056）号》,2012,2012-10-15,,,调度负责人：李波炜,HH调度负责人：吴迪
397,捷乌单卖低温液压站控制箱,,X12065233,共2套。2012-10-24《商务部（2012）第（1023340）号》，总调室未单独发排产通知,2012,2012-10-23,,,调度负责人：田培彬,
398,钻井参数及油耗远程监控系统研究项目,,内部订单号：HH03 C42002012007,2012-10-24《研发中心（2012）第（00031）号》,2012,2012-10-24,,,调度负责人：田培彬,
399,HH油服ZJ50LDB-6,ZJ50LDB,X12100213,,2012,2012-10-25,,,调度负责人：李波炜,
400,沙特阿美ZJ10DBS,ZJ10DBS,X12101201,2012-10-29《商务部（2012）第（1026252）号》，2012-10-29《总调度室（2012）第（01078）号》,2012,2012-10-25,,,调度负责人：田培彬,HH调度负责人：竹林
401,委内瑞拉ZJ90DBS-1,ZJ90DBS,X12102234,2012-10-26《商务部（2012）第（1026235）号》，2012-10-26《总调度室（2012）第（01074）号》,2012,2012-10-25,,,调度负责人：江强,售前负责人：王西成
402,委内瑞拉ZJ90DBS-2,ZJ90DBS,X12103234,2012-10-26《商务部（2012）第（1026235）号》，2012-10-26《总调度室（2012）第（01074）号》,2012,2012-10-25,,,调度负责人：江强,售前负责人：王西成
403,委内瑞拉ZJ90DBS-3,ZJ90DBS,X12104234,2012-10-26《商务部（2012）第（1026235）号》，2012-10-26《总调度室（2012）第（01074）号》,2012,2012-10-25,,,调度负责人：江强,售前负责人：王西成
404,委内瑞拉ZJ90DBS-4,ZJ90DBS,X12105234,2012-10-26《商务部（2012）第（1026235）号》，2012-10-26《总调度室（2012）第（01074）号》,2012,2012-10-25,,,调度负责人：江强,售前负责人：王西成
